"content","created_at","date","likeCount","media","outlinks","quoteCount","quotedTweet","replyCount","retweetCount","retweetedTweet","url","id","conversationId"
"@EbenGewers yes sir.","Sat Jun 08 18:42:49 0000 2013","2013-06-08 18:42:4900:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343437979911614464","343437979911614464","343437443250393088"
"@BennThunder lol, I love Twitter.","Sat Jun 08 18:40:58 0000 2013","2013-06-08 18:40:5800:00","0","","","0","","1","1","","https://twitter.com/Trevornoah/status/343437510841626624","343437510841626624","343435313613520896"
"But Im also mixed and I drive a golf. RT @MellisaMashigo: @Trevornoah cuz u aint no tiger woods nigga","Sat Jun 08 18:40:01 0000 2013","2013-06-08 18:40:0100:00","10","","","0","","23","34","","https://twitter.com/Trevornoah/status/343437273653731328","343437273653731328","343437273653731328"
"@JerryElago @MissMercia as a progressive I like to keep learning from the minds of others as I too share my thoughts. Comedy is my vehicle.","Sat Jun 08 18:37:40 0000 2013","2013-06-08 18:37:4000:00","0","","","0","","0","1","","https://twitter.com/Trevornoah/status/343436682646925312","343436682646925312","343322493295136771"
"@papaaction @MissMercia actually they were the first ones to use Nazi for other terms. I.e.the soup Nazi from Seinfeld","Sat Jun 08 18:35:39 0000 2013","2013-06-08 18:35:3900:00","0","","","0","","3","2","","https://twitter.com/Trevornoah/status/343436172883791873","343436172883791873","343322493295136771"
"@MissMercia more times than I can count. I saw my mother called that. My grandfather called that in town. I was called that in school.","Sat Jun 08 18:34:20 0000 2013","2013-06-08 18:34:2000:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343435844683710464","343435844683710464","343322493295136771"
"Why not RT @one4Wade: @Trevornoah hope you dont came back and get yourself a white chick and marry her #justsaying","Sat Jun 08 18:32:14 0000 2013","2013-06-08 18:32:1400:00","6","","","0","","23","5","","https://twitter.com/Trevornoah/status/343435313613520896","343435313613520896","343435313613520896"
"No Ive extended the N.Y. show until June 28. #GoodTimes RT @asapxyams: @Trevornoah is today your last performance in the states ","Sat Jun 08 18:31:34 0000 2013","2013-06-08 18:31:3400:00","2","","","0","","7","2","","https://twitter.com/Trevornoah/status/343435147305164800","343435147305164800","343435147305164800"
"@asapxyams June 28","Sat Jun 08 18:30:56 0000 2013","2013-06-08 18:30:5600:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343434986604593153","343434986604593153","343434710980100096"
"@JerryElago @MissMercia yes Jerry exactly. Thats why in my world I choose a different connotation. Connotation is personal.","Sat Jun 08 18:26:49 0000 2013","2013-06-08 18:26:4900:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343433951626555392","343433951626555392","343322493295136771"
"@MissMercia and where is the denial What am I denying by talking about the word Was anything I said, not true","Sat Jun 08 18:23:18 0000 2013","2013-06-08 18:23:1800:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343433067341438976","343433067341438976","343322493295136771"
"@MissMercia no its not a derivative. It is the word. Badly pronounced but still the same word.","Sat Jun 08 18:22:12 0000 2013","2013-06-08 18:22:1200:00","1","","","0","","1","0","","https://twitter.com/Trevornoah/status/343432788336324608","343432788336324608","343322493295136771"
"@JerryElago @MissMercia how is that even the same thing Nazi was a choice. Kaffir was not. Nazi had privilege, Kaffir had none.","Sat Jun 08 18:19:54 0000 2013","2013-06-08 18:19:5400:00","0","","","0","","1","2","","https://twitter.com/Trevornoah/status/343432211485298688","343432211485298688","343322493295136771"
"@MissMercia Kaffir means non believer, its a religious word not racial. Why must we continue to let it mean something it doesnt","Sat Jun 08 18:14:33 0000 2013","2013-06-08 18:14:3300:00","4","","","2","","6","4","","https://twitter.com/Trevornoah/status/343430866472669184","343430866472669184","343322493295136771"
"@MissMercia we deal with issues in different ways. I use humour to deal with pain. Its not trivializing for me.","Sat Jun 08 18:13:09 0000 2013","2013-06-08 18:13:0900:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343430511538081793","343430511538081793","343322493295136771"
"@MissMercia all words have power for a reason. But in this case people were tricked into thinking the word was something it wasnt.","Sat Jun 08 18:11:07 0000 2013","2013-06-08 18:11:0700:00","0","","","0","","1","1","","https://twitter.com/Trevornoah/status/343430001150001152","343430001150001152","343322493295136771"
"@MissMercia its not about desensitization. Its more about destroying the words power.","Sat Jun 08 18:08:56 0000 2013","2013-06-08 18:08:5600:00","0","","","1","","4","1","","https://twitter.com/Trevornoah/status/343429450647609344","343429450647609344","343322493295136771"
"@simmiareff so youre saying you cant afford a prepaid SIM card","Sat Jun 08 18:03:28 0000 2013","2013-06-08 18:03:2800:00","1","","","0","","1","1","","https://twitter.com/Trevornoah/status/343428073674391552","343428073674391552","343417687982092288"
"@kasperhauser @phlaimeaux lions arent endangered. Tiger wins","Sat Jun 08 17:59:18 0000 2013","2013-06-08 17:59:1800:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343427028265095168","343427028265095168","343372494641700865"
