UserId,PostId,TimeStamp,content
U48,P141,44782.01,#Ucrania #Rusia  Soldados ucranianos graban videos divertidos en los que muestran sus singulares tatuajes. https://t.co/Qlrlqbc7wS
U807,P142,44782.01,"G FUCK sjlv, Putin
Swedish

#UkraineUnderAttack #Ukraine #IStandWithUkraine #PutinsWar"
U98,P144,44782.01,"Russia Temporarily Halts US Inspections Under New START Treaty Over Sanctions
Sanctions have hindered the travel of Russian inspectors to the US
by Dave DeCamp
@DecampDave #Russia #START #NPT #sanctions #NuclearWeapons 
https://t.co/FbE4WxAePh https://t.co/wKqJ5fgpPE"
U17,P145,44782.01,@dim0kq @ippvch Beautiful message. Connecting to you and all of Ukraine in love and in victory. #SlavaUkrani
U100,P147,44782.01,"Lamentable praxis, prfida censura, masiva inopia. Lo que estamos tragando de los liberales por justificar una guerra evitable, la sangra de #Ucrania en pro de sus intereses y tapar sus chapuzas geopol. Esto es ms peligroso para nuestra democracia que ninguna interferencia. https://t.co/3SkN3RTAJV"
U807,P148,44782.01,"i  mnh, Putin
Vietnamese

#PutinWarCrimes #RussiaInvadedUkraine #UkraineUnderAttack #Ukraine"
U84,P149,44782.01,"#PRC: #Taiwan: The war drills continue amp What is to be done  @GordonGChang, Gatestone, Newsweek, The Hill Stephen Yates, chair of the America First Policy Institutes new China Policy Initiative. https://t.co/ISpRPzOOdi via @Audioboom #PRC"
U101,P152,44782.01,"The #ChineseCommunistParty CCP announced a new round of #invasive #militarydrills around #Taiwan on Aug. 8, in a further challenge to the islands sea and air space.

https://t.co/2BLH0MmR1Y"
U807,P153,44782.01,"Aneu a follar-vos, putin
Catalan

#UkraineUnderAttack #StandWithUkraine #RussiaWarCrimes #StopPutin"
U59,P154,44782.01,"#StandWithUkraine 
 
https://t.co/3JHsLngAJX Is Now Playing - 
The Motels - Only the Lonely - Video:  https://t.co/9KAvQPDHXE"
U84,P157,44782.01,"#Ukraine: #Russia:  Zaporizhzhia threats, climate change and the darkening war. Katrina vanden Heuvel, The Nation Magazine https://t.co/2osz8fY8sn via @Audioboom #Ukraine"
U104,P158,44782.01,"#Rusyann, #Ukraynaya kar at sava devam ediyor. #Donetsk Oblastndaki #Druzhkivka kentinde iftiler sava artlarna ramen buday hasad yapmay srdryor https://t.co/L7iueQ7kR0"
U807,P159,44782.01,"Tigh fuck fin, Putin
Irish

#FuckPutin #PutinWarCrimes #RussianWarCrimes #UkraineUnderAttack"
