PersonID,PostID,Timestamp,PostContent
D119,PP122,0,"Hi, it’s Jasmine Crockett, the Democrat representing Texas’ 30th Congressional District.  Let me tell you the story of how “bleach-blonde, bad-built, butch body” was born:  -- First, Marjorie Taylor Greene insulted my appearance in an official House committee proceeding.  -- https://t.co/57AfLDwFQz"
D120,PP123,0,@hrkbenowen Something like 93 of the 100 largest cities are Democrat controlled
D121,PP124,0,@DMcduffchrist @CorruptMM @TaraBull808 She was a fierce democrat. Believed in all the government spewed bullshit  you believe in. Hope you’ve had all your jabs too
D122,PP125,0,"@AskMeLaterOn @notimeforlibs @wendyp4545 @RealPNavarro It’s very simple. The Communist Party - er, I mean the Democrat Party determines who’s prosecuted."
D123,PP126,0,@abeyedoc44 @samunderhill_ And Mike Braun is a Democrat posing as a Republican.
D124,PP127,0,@AntiToxicPeople @Acyn Like COVID was a Democrat hoax.
D125,PP128,0,@GGZ_71 @MakeItCount4US @ResistItAllTX @KanekoaTheGreat @chamath lol. The only way you can try to win an argument is to pretend everything is an absolute.  You know damn well that circumstances change in every situation. You probably thing all Black people vote democrat and all Women love abortion.
D126,PP129,0,@MarioNawfal I would be willing to bet my right toe that she is a democrat
D127,PP130,0,@Logically_JC How is that a question? Why would any woman vote Democrat? To no longer be a woman but a birthing person? Smh 🤦🏻‍♀️
D128,PP131,0,"@jsolomonReports Of course not, he's a democrat."
D129,PP132,0,@grantstern He did not bunged anything . It was the nasty democrat run states that killed our grandmas to interfere with the election.
D130,PP133,0,"@TinaMichelsNel1 @GnosisWolf @BehizyTweets Democrat Party is a Cancer to America...Full of lies, twist, deceit &amp; Ignorance..."
D131,PP134,0,"@POTUS Chipping away at the 2A! You and your Marxist democrat party are all about criminals running loose in our cities, killing, robbing, raping and car jackings. But you continue chipping away at the 2A. Protecting criminals and disabling law-abiding people."
D132,PP135,0,@sheriran95 this is my sister's acct who has been in an accident. im trying to manage for her. I have accepted some FBs from ppl that in her groups. Others I leave for her..
D131,PP136,0,"Chipping away at the 2A! You and your Marxist democrat party are all about criminals running loose in our cities, killing, robbing, raping and car jackings. But you continue chipping away at the 2A. Protecting criminals and disabling law-abiding people."
